MSSubClass,MSZoning,LotFrontage,LotArea,Alley,LandContour,LotConfig,LandSlope,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MoSold,YrSold,SalePrice
2-STORY 1946+,RL,65,8450,,Lvl,Inside,0,1Fam,2Story,7,5,2003,2003,Gable,CompShg,BrkFace,196,4,3,PConc,4,3,0,6,706,1,0,150,856,GasA,5,1,5,856,854,1710,Attchd,2003,2,2,548,3,2,0,61,0,0,0,0,0,0,,Feb,2008,208500
1-STORY 1946+,RL,80,9600,,Lvl,FR2,0,1Fam,1Story,6,8,1976,1976,Gable,CompShg,None,0,3,3,CBlock,4,3,3,5,978,1,0,284,1262,GasA,5,1,5,1262,0,1262,Attchd,1976,2,2,460,3,2,298,0,0,0,0,0,0,0,,May,2007,181500
2-STORY 1946+,RL,68,11250,,Lvl,Inside,0,1Fam,2Story,7,5,2001,2002,Gable,CompShg,BrkFace,162,4,3,PConc,4,3,1,6,486,1,0,434,920,GasA,5,1,5,920,866,1786,Attchd,2001,2,2,608,3,2,0,42,0,0,0,0,0,0,,Sept,2008,223500
2-STORY 1945-,RL,60,9550,,Lvl,Corner,0,1Fam,2Story,7,5,1915,1970,Gable,CompShg,None,0,3,3,BrkTil,3,4,0,5,216,1,0,540,756,GasA,4,1,5,961,756,1717,Detchd,1998,1,3,642,3,2,0,35,272,0,0,0,0,0,,Feb,2006,140000
2-STORY 1946+,RL,84,14260,,Lvl,FR2,0,1Fam,2Story,8,5,2000,2000,Gable,CompShg,BrkFace,350,4,3,PConc,4,3,2,6,655,1,0,490,1145,GasA,5,1,5,1145,1053,2198,Attchd,2000,2,3,836,3,2,192,84,0,0,0,0,0,0,,Dec,2008,250000
1-1/2 STORY FIN,RL,85,14115,,Lvl,Inside,0,1Fam,1.5Fin,5,5,1993,1995,Gable,CompShg,None,0,3,3,Wood,4,3,0,6,732,1,0,64,796,GasA,5,1,5,796,566,1362,Attchd,1993,1,2,480,3,2,40,30,0,320,0,0,0,3,Shed,Oct,2009,143000
1-STORY 1946+,RL,75,10084,,Lvl,Inside,0,1Fam,1Story,8,5,2004,2005,Gable,CompShg,Stone,186,4,3,PConc,5,3,2,6,1369,1,0,317,1686,GasA,5,1,5,1694,0,1694,Attchd,2004,2,2,636,3,2,255,57,0,0,0,0,0,0,,Aug,2007,307000
2-STORY 1946+,RL,,10382,,Lvl,Corner,0,1Fam,2Story,7,6,1973,1973,Gable,CompShg,Stone,240,3,3,CBlock,4,3,1,5,859,4,32,216,1107,GasA,5,1,5,1107,983,2090,Attchd,1973,2,2,484,3,2,235,204,228,0,0,0,0,0,Shed,Nov,2009,200000
1-1/2 STORY FIN,RM,51,6120,,Lvl,Inside,0,1Fam,1.5Fin,7,5,1931,1950,Gable,CompShg,None,0,3,3,BrkTil,3,3,0,1,0,1,0,952,952,GasA,4,1,3,1022,752,1774,Detchd,1931,1,2,468,2,2,90,0,205,0,0,0,0,0,,Apr,2008,129900
2 FAMILY CONVERSION,RL,50,7420,,Lvl,Corner,0,2fmCon,1.5Unf,5,6,1939,1950,Gable,CompShg,None,0,3,3,BrkTil,3,3,0,6,851,1,0,140,991,GasA,5,1,5,1077,0,1077,Attchd,1939,2,1,205,4,2,0,4,0,0,0,0,0,0,,Jan,2008,118000
1-STORY 1946+,RL,70,11200,,Lvl,Inside,0,1Fam,1Story,5,5,1965,1965,Hip,CompShg,None,0,3,3,CBlock,3,3,0,3,906,1,0,134,1040,GasA,5,1,5,1040,0,1040,Detchd,1965,1,1,384,3,2,0,0,0,0,0,0,0,0,,Feb,2008,129500
2-STORY 1946+,RL,85,11924,,Lvl,Inside,0,1Fam,2Story,9,5,2005,2006,Hip,CompShg,Stone,286,5,3,PConc,5,3,0,6,998,1,0,177,1175,GasA,5,1,5,1182,1142,2324,BuiltIn,2005,3,3,736,3,2,147,21,0,0,0,0,0,0,,July,2006,345000
1-STORY 1946+,RL,,12968,,Lvl,Inside,0,1Fam,1Story,5,6,1962,1962,Hip,CompShg,None,0,3,3,CBlock,3,3,0,5,737,1,0,175,912,GasA,3,1,5,912,0,912,Detchd,1962,1,1,352,3,2,140,0,0,0,176,0,0,0,,Sept,2008,144000
1-STORY 1946+,RL,91,10652,,Lvl,Inside,0,1Fam,1Story,7,5,2006,2007,Gable,CompShg,Stone,306,4,3,PConc,4,3,2,1,0,1,0,1494,1494,GasA,5,1,5,1494,0,1494,Attchd,2006,2,3,840,3,2,160,33,0,0,0,0,0,0,,Aug,2007,279500
1-STORY 1946+,RL,,10920,,Lvl,Corner,0,1Fam,1Story,6,5,1960,1960,Hip,CompShg,BrkFace,212,3,3,CBlock,3,3,0,4,733,1,0,520,1253,GasA,3,1,5,1253,0,1253,Attchd,1960,2,1,352,3,2,0,213,176,0,0,0,0,2,,May,2008,157000
1-1/2 STORY UNF,RM,51,6120,,Lvl,Corner,0,1Fam,1.5Unf,7,8,1929,2001,Gable,CompShg,None,0,3,3,BrkTil,3,3,0,1,0,1,0,832,832,GasA,5,1,4,854,0,854,Detchd,1991,1,2,576,3,2,48,112,0,0,0,0,0,4,,July,2007,132000
1-STORY 1946+,RL,,11241,,Lvl,CulDSac,0,1Fam,1Story,6,7,1970,1970,Gable,CompShg,BrkFace,180,3,3,CBlock,3,3,0,5,578,1,0,426,1004,GasA,5,1,5,1004,0,1004,Attchd,1970,3,2,480,3,2,0,0,0,0,0,0,0,0,Shed,Mar,2010,149000
DUPLEX,RL,72,10791,,Lvl,Inside,0,Duplex,1Story,4,5,1967,1967,Gable,CompShg,None,0,3,3,Slab,0,0,0,0,0,0,0,0,0,GasA,3,1,5,1296,0,1296,CarPort,1967,1,2,516,3,2,0,0,0,0,0,0,0,0,Shed,Oct,2006,90000
1-STORY 1946+,RL,66,13695,,Lvl,Inside,0,1Fam,1Story,5,5,2004,2004,Gable,CompShg,None,0,3,3,PConc,3,3,0,6,646,1,0,468,1114,GasA,5,1,5,1114,0,1114,Detchd,2004,1,2,576,3,2,0,102,0,0,0,0,0,0,,June,2008,159000
1-STORY 1946+,RL,70,7560,,Lvl,Inside,0,1Fam,1Story,5,6,1958,1965,Hip,CompShg,None,0,3,3,CBlock,3,3,0,2,504,1,0,525,1029,GasA,3,1,5,1339,0,1339,Attchd,1958,1,1,294,3,2,0,0,0,0,0,0,0,3,,May,2009,139000
2-STORY 1946+,RL,101,14215,,Lvl,Corner,0,1Fam,2Story,8,5,2005,2006,Gable,CompShg,BrkFace,380,4,3,PConc,5,3,2,1,0,1,0,1158,1158,GasA,5,1,5,1158,1218,2376,BuiltIn,2005,2,3,853,3,2,240,154,0,0,0,0,0,0,,Nov,2006,325300
1-1/2 STORY UNF,RM,57,7449,Grvl,Bnk,Inside,0,1Fam,1.5Unf,7,7,1930,1950,Gable,CompShg,None,0,3,3,PConc,3,3,0,1,0,1,0,637,637,GasA,5,1,3,1108,0,1108,Attchd,1930,1,1,280,3,0,0,0,205,0,0,0,0,4,,June,2007,139400
1-STORY 1946+,RL,75,9742,,Lvl,Inside,0,1Fam,1Story,8,5,2002,2002,Hip,CompShg,BrkFace,281,4,3,PConc,4,3,0,1,0,1,0,1777,1777,GasA,5,1,5,1795,0,1795,Attchd,2002,2,2,534,3,2,171,159,0,0,0,0,0,0,,Sept,2008,230000
1-STORY PUD 1946+,RM,44,4224,,Lvl,Inside,0,TwnhsE,1Story,5,7,1976,1976,Gable,CompShg,None,0,3,3,PConc,4,3,0,6,840,1,0,200,1040,GasA,3,1,5,1060,0,1060,Attchd,1976,1,2,572,3,2,100,110,0,0,0,0,0,0,,June,2007,129900
1-STORY 1946+,RL,,8246,,Lvl,Inside,0,1Fam,1Story,5,8,1968,2001,Gable,CompShg,None,0,3,4,CBlock,3,3,1,3,188,5,668,204,1060,GasA,5,1,5,1060,0,1060,Attchd,1968,1,1,270,3,2,406,90,0,0,0,0,0,3,,May,2010,154000
1-STORY 1946+,RL,110,14230,,Lvl,Corner,0,1Fam,1Story,8,5,2007,2007,Gable,CompShg,Stone,640,4,3,PConc,4,3,0,1,0,1,0,1566,1566,GasA,5,1,5,1600,0,1600,Attchd,2007,2,3,890,3,2,0,56,0,0,0,0,0,0,,July,2009,256300
1-STORY 1946+,RL,60,7200,,Lvl,Corner,0,1Fam,1Story,5,7,1951,2000,Gable,CompShg,None,0,3,3,CBlock,3,3,1,4,234,3,486,180,900,GasA,3,1,5,900,0,900,Detchd,2005,1,2,576,3,2,222,32,0,0,0,0,0,0,,May,2010,134800
1-STORY 1946+,RL,98,11478,,Lvl,Inside,0,1Fam,1Story,8,5,2007,2008,Gable,CompShg,Stone,200,4,3,PConc,5,3,0,6,1218,1,0,486,1704,GasA,5,1,5,1704,0,1704,Attchd,2008,2,3,772,3,2,0,50,0,0,0,0,0,0,,May,2010,306000
1-STORY 1946+,RL,47,16321,,Lvl,CulDSac,0,1Fam,1Story,5,6,1957,1997,Gable,CompShg,None,0,3,3,CBlock,3,3,3,4,1277,1,0,207,1484,GasA,3,1,5,1600,0,1600,Attchd,1957,2,1,319,3,2,288,258,0,0,0,0,0,0,,Dec,2006,207500
1-STORY 1945-,RM,60,6324,,Lvl,Inside,0,1Fam,1Story,4,6,1927,1950,Gable,CompShg,None,0,3,3,BrkTil,3,3,0,1,0,1,0,520,520,GasA,2,0,5,520,0,520,Detchd,1920,1,1,240,2,2,49,0,87,0,0,0,0,0,,May,2008,68500
